Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Leonin Arbiter,Leonin Arbiter,Commander 2017,64,C17,Normal,Near Mint,English,Rare,139817,3449228
1,Leonin Shikari,Leonin Shikari,Commander 2017,66,C17,Normal,Near Mint,English,Rare,139975,3450061
1,Phyrexian Delver,Phyrexian Delver,Commander 2013,86,C13,Normal,Near Mint,English,Rare,72217,1139929
1,Phyrexian Rebirth,Phyrexian Rebirth,Commander 2018,70,C18,Normal,Near Mint,English,Rare,171184,3808683
1,Profane Procession,Profane Procession,Rivals of Ixalan,166,RIX,Normal,Near Mint,English,Rare,155699,3569084
1,Razaketh's Rite,Razaketh's Rite,Hour of Devastation,74,HOU,Normal,Near Mint,English,Uncommon,136489,3413375
1,Condescend,Condescend,Iconic Masters,46,IMA,Normal,Near Mint,English,Uncommon,145405,3467562
1,Duskmantle Seer,Duskmantle Seer,Commander 2018,176,C18,Normal,Near Mint,English,Rare,171088,3808203
1,Silent-Blade Oni,Silent-Blade Oni,Commander 2018,191,C18,Normal,Near Mint,English,Rare,171101,3808268
1,Staff of Nin,Staff of Nin,Commander 2017,224,C17,Normal,Near Mint,English,Rare,140043,3450386
1,"Varina, Lich Queen","Varina, Lich Queen",Commander 2018,48,C18,Foil,Near Mint,English,Mythic,171104,3808283
1,Army of the Damned,Army of the Damned,Commander 2018,113,C18,Normal,Near Mint,English,Mythic,171120,3808363
1,Aminatou's Augury,Aminatou's Augury,Commander 2018,6,C18,Normal,Near Mint,English,Rare,171074,3808133
1,Loxodon Warhammer,Loxodon Warhammer,Commander 2017,216,C17,Normal,Near Mint,English,Uncommon,139976,3450066
1,Myriad Landscape,Myriad Landscape,Commander 2017,262,C17,Normal,Near Mint,English,Uncommon,140113,3450736
1,Whispersilk Cloak,Whispersilk Cloak,Magic 2010 (M10),221,M10,Normal,Near Mint,English,Uncommon,32765,310747
1,Whispersilk Cloak,Whispersilk Cloak,10th Edition,345,10E,Foil,Near Mint,English,Uncommon,15397,7513
1,Whispersilk Cloak,Whispersilk Cloak,Darksteel,160,DST,Normal,Near Mint,English,Common,11597,23673
1,Merfolk Secretkeeper (Showcase),Merfolk Secretkeeper,Throne of Eldraine,284,ELD,Normal,Near Mint,English,Common,199497,4211399
1,Merfolk Secretkeeper,Merfolk Secretkeeper,Throne of Eldraine,53,ELD,Normal,Near Mint,English,Common,199509,4212574
